area,cev
-0.03157207141820262, 0.8032128514056325
0.08842599312914334, 2.409638554216855
0.17812212706246733, 4.618473895582341
0.267455363623168, 8.032128514056225
0.3262447379880973, 12.851405622489963
0.3848526636667158, 18.273092369477908
0.4438839696133936, 22.289156626506013
0.503036241350947, 25.903614457831324
0.5623094788793725, 29.116465863453826
0.621461750616926, 32.73092369477912
0.6807349881453533, 35.94377510040161
0.7699472589151792, 39.75903614457832
0.8893404945081533, 43.373493975903614
1.03861228044709, 47.791164658634536
1.2181859970000497, 51.606425702811244
1.4280616441670295, 54.81927710843373
1.7281172884308313, 58.63453815261044
2.0284753471718195, 61.445783132530124
2.419315817486816, 63.855421686746986
2.8703972516572316, 66.26506024096386
3.3215996516185244, 68.27309236947791
3.7427420525475386, 70.08032128514057
4.10382493830745, 71.285140562249
4.555148304059613, 72.89156626506025
4.9764116707795045, 74.29718875502007
5.457916001354817, 75.70281124497993
5.969661779648717, 76.70682730923696
6.451287076014904, 77.71084337349399
6.962790922727053, 79.51807228915663
7.65519910969178, 80.72289156626506
8.287426815696524, 81.72690763052209
8.9197150045967, 82.53012048192771
9.49176222964146, 83.33333333333334
10.18429138239706, 84.13654618473896
10.937061499008081, 84.93975903614458
11.750133062369965, 85.5421686746988
12.533084143804132, 86.14457831325302
13.285914743310592, 86.74698795180723
14.159166787632458, 87.55020080321285
14.912057870034353, 87.95180722891567
15.514407025693135, 88.15261044176707
