area,cev
-0.0012701408041806417, 0.20080321285141167
0.47896404896695266, 5.823293172690768
0.8991992064644121, 10.642570281124492
1.2289519523878658, 15.863453815261039
1.4381018048096008, 21.48594377510041
1.5870106933759134, 27.10843373493975
1.675678618086807, 32.73092369477912
1.7948299220980308, 37.14859437751004
1.8834978468089245, 42.77108433734939
2.0023467363429637, 48.192771084337345
2.1813761068369883, 53.81526104417671
2.270769826293125, 57.0281124497992
2.5401606425702825, 62.65060240963856
2.9302753181400307, 67.46987951807229
3.5918372284318005, 71.0843373493976
4.253459621619007, 74.49799196787149
5.035805874098805, 77.10843373493975
5.818333575264915, 79.11646586345381
6.631042241254176, 80.92369477911646
7.4440533217206175, 81.72690763052209
8.287124401219337, 82.73092369477912
9.13025596361349, 83.53413654618474
9.973266560216771, 84.73895582329317
10.786277640683217, 85.5421686746988
11.659650650795957, 85.94377510040161
12.502842696085548, 86.54618473895583
13.345974258479703, 87.34939759036145
14.189166303769294, 87.95180722891567
15.032479314849759, 88.15261044176707
15.5143465427977, 88.35341365461848
